CHR_UID,CHR_NAME,CAS,FRACTION,DU,WBODY,WGROUP,ECOLI_SINGLE,SC_WQC,TEMP_WQC,LT,GT,HD_METAL,TOXIC,TURBAP,DWS,IRR,LW,WH,ACUTE,CHRONIC,HH,PERSISTENT,UNITS,ATTAINS CAUSE_GROUP_NAME,ATTAINS CAUSE_ID,ADB_CAUSE_NO,Comments (SCB)
7,.alpha.-Endosulfan,959-98-8,,ColdWAL,,,,,,,,N,Y,N,62,,,,0.22,0.056,30,,ug/l,PESTICIDES,109,2,
7,.alpha.-Endosulfan,959-98-8,,CoolWAL,,,,,,,,N,Y,N,62,,,,0.22,0.056,30,,ug/l,PESTICIDES,109,2,
7,.alpha.-Endosulfan,959-98-8,,HQColdWAL,,,,,,,,N,Y,N,62,,,,0.22,0.056,30,,ug/l,PESTICIDES,109,2,
7,.alpha.-Endosulfan,959-98-8,,LAL,,,,,,,,N,Y,N,62,,,,0.22,,,,ug/l,PESTICIDES,109,2,
7,.alpha.-Endosulfan,959-98-8,,MCWAL,,,,,,,,N,Y,N,62,,,,0.22,0.056,30,,ug/l,PESTICIDES,109,2,
7,.alpha.-Endosulfan,959-98-8,,MWWAL,,,,,,,,N,Y,N,62,,,,0.22,0.056,30,,ug/l,PESTICIDES,109,2,
7,.alpha.-Endosulfan,959-98-8,,WWAL,,,,,,,,N,Y,N,62,,,,0.22,0.056,30,,ug/l,PESTICIDES,109,2,
8,.alpha.-Hexachlorocyclohexane,319-84-6,,ColdWAL,,,,,,,,N,Y,N,0.056,,,,,,0.0039,,ug/l,PESTICIDES,107,1,
8,.alpha.-Hexachlorocyclohexane,319-84-6,,CoolWAL,,,,,,,,N,Y,N,0.056,,,,,,0.0039,,ug/l,PESTICIDES,107,1,
8,.alpha.-Hexachlorocyclohexane,319-84-6,,HQColdWAL,,,,,,,,N,Y,N,0.056,,,,,,0.0039,,ug/l,PESTICIDES,107,1,
8,.alpha.-Hexachlorocyclohexane,319-84-6,,MCWAL,,,,,,,,N,Y,N,0.056,,,,,,0.0039,,ug/l,PESTICIDES,107,1,
8,.alpha.-Hexachlorocyclohexane,319-84-6,,MWWAL,,,,,,,,N,Y,N,0.056,,,,,,0.0039,,ug/l,PESTICIDES,107,1,
8,.alpha.-Hexachlorocyclohexane,319-84-6,,WWAL,,,,,,,,N,Y,N,0.056,,,,,,0.0039,,ug/l,PESTICIDES,107,1,
13,.beta.-Endosulfan,33213-65-9,,ColdWAL,,,,,,,,N,Y,N,62,,,,0.22,0.056,40,,ug/l,PESTICIDES,192,4,
13,.beta.-Endosulfan,33213-65-9,,CoolWAL,,,,,,,,N,Y,N,62,,,,0.22,0.056,40,,ug/l,PESTICIDES,192,4,
13,.beta.-Endosulfan,33213-65-9,,HQColdWAL,,,,,,,,N,Y,N,62,,,,0.22,0.056,40,,ug/l,PESTICIDES,192,4,
13,.beta.-Endosulfan,33213-65-9,,LAL,,,,,,,,N,Y,N,62,,,,0.22,,,,ug/l,PESTICIDES,192,4,
13,.beta.-Endosulfan,33213-65-9,,MCWAL,,,,,,,,N,Y,N,62,,,,0.22,0.056,40,,ug/l,PESTICIDES,192,4,
