PRJ_NAME,WATER_NAME,WATER_ID,STATION_NAME,STATION,DU,WGROUP,WBODY,WQS_REFERENCE,ECOLI_GEOMEAN,ECOLI_SINGLE,TEMP_6T3,TEMP_4T3,TEMP_WQC,PH_LOW,PH_HIGH,DO_WQC,SC_WQC,TP_WQC,TDS_WQC,SO4_WQC,CHL_WQC,NMAC_NOTES,MLOC_UID,PRJ_UID
LANL 202-2023,Ancho Canyon (Rio Grande to Ancho Springs),NM-9000.A_154,Ancho at Rio Grande,Ancho at Rio Grande,LAL,RIVER,"STREAM, EPHEMERAL",20.6.4.128,548,2507,,,,,,,,,,,,The acute total ammonia criteria set forth in Subsection K of 20.6.4.900 NMAC (salmonids absent) apply,1336,27
LANL 202-2023,North Fork Ancho Canyon (Ancho Canyon to headwaters),NM-9000.A_055,Ancho North Fork above SR-4,Ancho North Fork above SR-4,LAL,RIVER,"STREAM, EPHEMERAL",20.6.4.128,548,2507,,,,,,,,,,,,The acute total ammonia criteria set forth in Subsection K of 20.6.4.900 NMAC (salmonids absent) apply,1019,27
LANL 202-2023,Water Canyon (within LANL below Area-A Cyn),NM-128.A_13,Between E252 and Water at Beta,Between E252 and Water at Beta,LAL,RIVER,"STREAM, EPHEMERAL",20.6.4.128,548,2507,,,,,,,,,,,,The acute total ammonia criteria set forth in Subsection K of 20.6.4.900 NMAC (salmonids absent) apply,19,27
LANL 202-2023,DP Canyon (100m dwnstm grade ctrl to 400m upstm grade ctrl) ,NM-128.A_24,DP blw GCS E039.1,DP blw GCS E039.1,LAL,RIVER,"STREAM, EPHEMERAL",20.6.4.128,548,2507,,,,,,,,,,,,The acute total ammonia criteria set forth in Subsection K of 20.6.4.900 NMAC (salmonids absent) apply,1336,27
LANL 202-2023,DP Canyon (400m upstream of grade control to upper LANL bnd),NM-128.A_14,DP upstream of grade control structure - 28DPCany001.4,28DPCany001.4,LAL,RIVER,"STREAM, EPHEMERAL",20.6.4.128,548,2507,,,,,,,,,,,,The acute total ammonia criteria set forth in Subsection K of 20.6.4.900 NMAC (salmonids absent) apply,,
LANL 202-2023,Pajarito Canyon (Arroyo de La Delfe to Starmers Gulch),NM-126.A_01,Paj bel S-N Anch E Basin conf,Paj bel S-N Anch E Basin conf,ColdWAL,RIVER,"STREAM, PERENNIAL",20.6.4.126,548,2507,20,,24,6.6,8.8,6,,,,,,NA,2,27
LANL 202-2023,Pajarito Canyon (Rio Grande to LANL bnd),NM-9000.A_040,Pajarito at Rio Grande,Pajarito at Rio Grande,MWWAL,RIVER,"STREAM, INTERMITTENT",20.6.4.98,206,940,,,32.2,6.6,9,5,,,,,,NA,996,27
LANL 202-2023,Rio Grande (Cochiti Reservoir to San Ildefonso bnd),NM-2111_00,Rio Grande at Frijoles,Rio Grande at Frijoles,MCWAL,RIVER,RIVER,20.6.4.114,126,410,22,,25,6.6,9,6,,,500,150,25,"Public water supply on the main stem Rio Grande. Radionuclide disclosure 12-mo rolling ave (pCi/L):  Am-241 1.9, Cs-137 6.4, Pu-238, 239/240 1.5, Sr-90 3.5, H-3 4000. At mean mnthly flows > 100 cfs, mnthly ave TDS 500,sulfate 150, chloride 25 mg/L",233,47
LANL 202-2023,Rio Grande (Ohkay Owingeh bnd to Embudo Creek),NM-2111_10,Rio Grande at Lyden,Rio Grande at Lyden,MCWAL,RIVER,RIVER,20.6.4.114,126,410,22,,25,6.6,9,6,,,500,150,25,"Public water supply on the main stem Rio Grande. Radionuclide disclosure 12-mo rolling ave (pCi/L):  Am-241 1.9, Cs-137 6.4, Pu-238, 239/240 1.5, Sr-90 3.5, H-3 4000. At mean mnthly flows > 100 cfs, mnthly ave TDS 500,sulfate 150, chloride 25 mg/L",237,47
LANL 202-2023,Rio Grande (Cochiti Reservoir to San Ildefonso bnd),NM-2111_00,Rio Grande blw Ancho,Rio Grande blw Ancho,MCWAL,RIVER,RIVER,20.6.4.114,126,410,22,,25,6.6,9,6,,,500,150,25,"Public water supply on the main stem Rio Grande. Radionuclide disclosure 12-mo rolling ave (pCi/L):  Am-241 1.9, Cs-137 6.4, Pu-238, 239/240 1.5, Sr-90 3.5, H-3 4000. At mean mnthly flows > 100 cfs, mnthly ave TDS 500,sulfate 150, chloride 25 mg/L",233,47
