"WATER_ID","WATER_NAME","PROJECT_NAME","STATION","STATION_NAME","SAMPLING_EVENT_TYPE","DATE","TIME","ACTIVITY_TYPE","SAMPLE_TYPE","FLT_10UG","SAMPLE_FRACTION","CHR_UID","CHARACTERISTIC_NAME","MEASUREMENT","MEASUREMENT_num","UNITS","LESS_THAN_YN","ASSESSABILITY_QUALIFIER_CODE","ACT_START_DATE","ACT_END_DATE"
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Sample-Routine","Surface Water","Y","Dissolved","1215","Lead","1E-3",0.001,"mgL","Y",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Sample-Routine","Surface Water","Y","Dissolved","1249","Manganese","0.06",0.06,"mgL","N",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Sample-Routine","Surface Water","Y","Dissolved","1266001","Mercury","2.0000000000000001E-4",0.0002,"mgL","Y",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Sample-Routine","Surface Water","Y","Total","1266002","Mercury","2.0000000000000001E-4",0.0002,"mgL","Y",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Sample-Routine","Surface Water","Y","Dissolved","1354001","Molybdenum","1E-3",0.001,"mgL","N",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Sample-Routine","Surface Water","Y","Dissolved","1395","Nickel","0.01",0.01,"mgL","Y",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Sample-Routine","Surface Water","Y","Total","1416","Total Kjeldahl nitrogen (Organic N & NH3)","0.55000000000000004",0.55,"mgL","N",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Sample-Routine","Surface Water","Y","Total","1418","Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N","0.09",0.09,"mgL","N",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Field Msr/Obs","Surface Water","Y",,"1648","pH","7.99",7.99,"none","N",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Sample-Routine","Surface Water","Y","Total","1674","Phosphorus as P","0.14000000000000001",0.14,"mgL","N",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Field Msr/Obs","Surface Water","Y",,"1775","Salinity","0.09",0.09,"ppt","N",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Sample-Routine","Surface Water","Y","Dissolved","1783001","Selenium","5.0000000000000001E-3",0.005,"mgL","Y",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Sample-Routine","Surface Water","Y","Total","1783002","Selenium","5.0000000000000001E-3",0.005,"mgL","Y",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Sample-Routine","Surface Water","Y","Dissolved","1793","Silver","1E-3",0.001,"mgL","Y",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Field Msr/Obs","Surface Water","Y",,"1815","Specific conductance","199",199,"uScm","N",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Sample-Routine","Surface Water","Y","Dissolved","1883","Thallium","1E-3",0.001,"mgL","Y",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Field Msr/Obs","Baseflow","Y",,"1977","Turbidity","49",49,"NTU","N",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Sample-Routine","Surface Water","Y","Dissolved","1987","Vanadium","1.2E-2",0.012,"mgL","N",,,
"W_NM-212-02","Abiquiu Creek subwatershed","Rio Chama Survey 2023-2024","29Abiqui001.8","Abiquiu Creek at US 84 bridge - 29Abiqui001.8","RIVER/STREAM-CHEMICAL",2023-04-20,"10:44","Sample-Routine","Surface Water","Y","Dissolved","2005","Zinc","0.01",0.01,"mgL","Y",,,
