"WATER_ID","DU","Waterbody","TN_SITE_CLASS","TP_SITE_CLASS","ECOREGION","ELEVATION","Criteria_Name","Criteria_Value","CHR_UID","CHR_UID_Unique"
"NM-2206.A_10","WWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","26q","4797","TEMP_WQC","32.2",2849,"2849"
"NM-2206.A_10","WWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","26q","4797","PH_LOW","6.6",1648,"1648b"
"NM-2206.A_10","WWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","26q","4797","PH_HIGH","9",1648,"1648a"
"NM-2206.A_10","WWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","26q","4797","DO_WQC","5",985,"985"
"NM-2208_00","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","26q","5243","TEMP_WQC","30",2849,"2849"
"NM-2208_00","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","26q","5243","PH_LOW","6.6",1648,"1648b"
"NM-2208_00","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","26q","5243","PH_HIGH","8.8",1648,"1648a"
"NM-2208_00","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","26q","5243","DO_WQC","6",985,"985"
"NM-2208_00","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","26q","5243","TP_WQC","0.1",1674,"1674"
"NM-2208_01","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","23f","7407","TEMP_WQC","30",2849,"2849"
"NM-2208_01","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","23f","7407","PH_LOW","6.6",1648,"1648b"
"NM-2208_01","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","23f","7407","PH_HIGH","8.8",1648,"1648a"
"NM-2208_01","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","23f","7407","DO_WQC","6",985,"985"
"NM-2208_01","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","23f","7407","TP_WQC","0.1",1674,"1674"
"NM-2208_03","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","23f","8123","TEMP_WQC","30",2849,"2849"
"NM-2208_03","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","23f","8123","PH_LOW","6.6",1648,"1648b"
"NM-2208_03","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","23f","8123","PH_HIGH","8.8",1648,"1648a"
"NM-2208_03","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","23f","8123","DO_WQC","6",985,"985"
"NM-2208_03","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","23f","8123","TP_WQC","0.1",1674,"1674"
"NM-2208_10","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","26q","5223","TEMP_WQC","30",2849,"2849"
"NM-2208_10","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","26q","5223","PH_LOW","6.6",1648,"1648b"
"NM-2208_10","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","26q","5223","PH_HIGH","8.8",1648,"1648a"
"NM-2208_10","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","26q","5223","DO_WQC","6",985,"985"
"NM-2208_10","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","26q","5223","TP_WQC","0.1",1674,"1674"
"NM-2208_20","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","23b","5696","TEMP_WQC","30",2849,"2849"
"NM-2208_20","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","23b","5696","PH_LOW","6.6",1648,"1648b"
"NM-2208_20","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","23b","5696","PH_HIGH","8.8",1648,"1648a"
"NM-2208_20","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","23b","5696","DO_WQC","6",985,"985"
"NM-2208_20","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","23b","5696","TP_WQC","0.1",1674,"1674"
"NM-2208_21","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","26q","5209","TEMP_WQC","30",2849,"2849"
"NM-2208_21","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","26q","5209","PH_LOW","6.6",1648,"1648b"
"NM-2208_21","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","26q","5209","PH_HIGH","8.8",1648,"1648a"
"NM-2208_21","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","26q","5209","DO_WQC","6",985,"985"
"NM-2208_21","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","26q","5209","TP_WQC","0.1",1674,"1674"
"NM-2208_30","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","26q","4752","TEMP_WQC","30",2849,"2849"
"NM-2208_30","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","26q","4752","PH_LOW","6.6",1648,"1648b"
"NM-2208_30","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","26q","4752","PH_HIGH","8.8",1648,"1648a"
"NM-2208_30","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","26q","4752","DO_WQC","6",985,"985"
"NM-2208_30","ColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","26q","4752","TP_WQC","0.1",1674,"1674"
"NM-2209.A_00","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","7625","TEMP_4T3","20",999920,"999920"
"NM-2209.A_00","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","7625","TEMP_WQC","23",2849,"2849"
"NM-2209.A_00","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","7625","PH_LOW","6.6",1648,"1648b"
"NM-2209.A_00","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","7625","PH_HIGH","8.8",1648,"1648a"
"NM-2209.A_00","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","7625","DO_WQC","6",985,"985"
"NM-2209.A_00","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","7625","SC_WQC","600",1815,"1815"
"NM-2209.A_00","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","7625","TP_WQC","0.1",1674,"1674"
"NM-2209.A_01","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","7639","TEMP_4T3","20",999920,"999920"
"NM-2209.A_01","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","7639","TEMP_WQC","23",2849,"2849"
"NM-2209.A_01","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","7639","PH_LOW","6.6",1648,"1648b"
"NM-2209.A_01","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","7639","PH_HIGH","8.8",1648,"1648a"
"NM-2209.A_01","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","7639","DO_WQC","6",985,"985"
"NM-2209.A_01","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","7639","SC_WQC","600",1815,"1815"
"NM-2209.A_01","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","7639","TP_WQC","0.1",1674,"1674"
"NM-2209.A_10","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","6864","TEMP_4T3","20",999920,"999920"
"NM-2209.A_10","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","6864","TEMP_WQC","23",2849,"2849"
"NM-2209.A_10","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","6864","PH_LOW","6.6",1648,"1648b"
"NM-2209.A_10","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","6864","PH_HIGH","8.8",1648,"1648a"
"NM-2209.A_10","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","6864","DO_WQC","6",985,"985"
"NM-2209.A_10","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","6864","SC_WQC","600",1815,"1815"
"NM-2209.A_10","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","6864","TP_WQC","0.1",1674,"1674"
