"CHR_UID","CHR_NAME","FRACTION","DU","Waterbody","PERSISTENT","HD_METAL","TOXIC","TURBAP","UNITS","Criteria_Type","Magnitude_Numeric"
"7",".alpha.-Endosulfan",,"ColdWAL",,,"N","Y","N","ugL","ACUTE",0.22
"7",".alpha.-Endosulfan",,"ColdWAL",,,"N","Y","N","ugL","CHRONIC",0.056
"7",".alpha.-Endosulfan",,"ColdWAL",,,"N","Y","N","ugL","HH",30
"7",".alpha.-Endosulfan",,"CoolWAL",,,"N","Y","N","ugL","ACUTE",0.22
"7",".alpha.-Endosulfan",,"CoolWAL",,,"N","Y","N","ugL","CHRONIC",0.056
"7",".alpha.-Endosulfan",,"CoolWAL",,,"N","Y","N","ugL","HH",30
"7",".alpha.-Endosulfan",,"HQColdWAL",,,"N","Y","N","ugL","ACUTE",0.22
"7",".alpha.-Endosulfan",,"HQColdWAL",,,"N","Y","N","ugL","CHRONIC",0.056
"7",".alpha.-Endosulfan",,"HQColdWAL",,,"N","Y","N","ugL","HH",30
"7",".alpha.-Endosulfan",,"LAL",,,"N","Y","N","ugL","ACUTE",0.22
"7",".alpha.-Endosulfan",,"MCWAL",,,"N","Y","N","ugL","ACUTE",0.22
"7",".alpha.-Endosulfan",,"MCWAL",,,"N","Y","N","ugL","CHRONIC",0.056
"7",".alpha.-Endosulfan",,"MCWAL",,,"N","Y","N","ugL","HH",30
"7",".alpha.-Endosulfan",,"MWWAL",,,"N","Y","N","ugL","ACUTE",0.22
"7",".alpha.-Endosulfan",,"MWWAL",,,"N","Y","N","ugL","CHRONIC",0.056
"7",".alpha.-Endosulfan",,"MWWAL",,,"N","Y","N","ugL","HH",30
"7",".alpha.-Endosulfan",,"WWAL",,,"N","Y","N","ugL","ACUTE",0.22
"7",".alpha.-Endosulfan",,"WWAL",,,"N","Y","N","ugL","CHRONIC",0.056
"7",".alpha.-Endosulfan",,"WWAL",,,"N","Y","N","ugL","HH",30
"8",".alpha.-Hexachlorocyclohexane",,"ColdWAL",,,"N","Y","N","ugL","HH",0.0039
"8",".alpha.-Hexachlorocyclohexane",,"CoolWAL",,,"N","Y","N","ugL","HH",0.0039
"8",".alpha.-Hexachlorocyclohexane",,"HQColdWAL",,,"N","Y","N","ugL","HH",0.0039
"8",".alpha.-Hexachlorocyclohexane",,"MCWAL",,,"N","Y","N","ugL","HH",0.0039
"8",".alpha.-Hexachlorocyclohexane",,"MWWAL",,,"N","Y","N","ugL","HH",0.0039
"8",".alpha.-Hexachlorocyclohexane",,"WWAL",,,"N","Y","N","ugL","HH",0.0039
"13",".beta.-Endosulfan",,"ColdWAL",,,"N","Y","N","ugL","ACUTE",0.22
"13",".beta.-Endosulfan",,"ColdWAL",,,"N","Y","N","ugL","CHRONIC",0.056
"13",".beta.-Endosulfan",,"ColdWAL",,,"N","Y","N","ugL","HH",40
"13",".beta.-Endosulfan",,"CoolWAL",,,"N","Y","N","ugL","ACUTE",0.22
"13",".beta.-Endosulfan",,"CoolWAL",,,"N","Y","N","ugL","CHRONIC",0.056
"13",".beta.-Endosulfan",,"CoolWAL",,,"N","Y","N","ugL","HH",40
"13",".beta.-Endosulfan",,"HQColdWAL",,,"N","Y","N","ugL","ACUTE",0.22
"13",".beta.-Endosulfan",,"HQColdWAL",,,"N","Y","N","ugL","CHRONIC",0.056
"13",".beta.-Endosulfan",,"HQColdWAL",,,"N","Y","N","ugL","HH",40
"13",".beta.-Endosulfan",,"LAL",,,"N","Y","N","ugL","ACUTE",0.22
"13",".beta.-Endosulfan",,"MCWAL",,,"N","Y","N","ugL","ACUTE",0.22
"13",".beta.-Endosulfan",,"MCWAL",,,"N","Y","N","ugL","CHRONIC",0.056
"13",".beta.-Endosulfan",,"MCWAL",,,"N","Y","N","ugL","HH",40
"13",".beta.-Endosulfan",,"MWWAL",,,"N","Y","N","ugL","ACUTE",0.22
"13",".beta.-Endosulfan",,"MWWAL",,,"N","Y","N","ugL","CHRONIC",0.056
"13",".beta.-Endosulfan",,"MWWAL",,,"N","Y","N","ugL","HH",40
"13",".beta.-Endosulfan",,"WWAL",,,"N","Y","N","ugL","ACUTE",0.22
"13",".beta.-Endosulfan",,"WWAL",,,"N","Y","N","ugL","CHRONIC",0.056
"13",".beta.-Endosulfan",,"WWAL",,,"N","Y","N","ugL","HH",40
"14",".beta.-Hexachlorocyclohexane",,"ColdWAL",,,"N","Y","N","ugL","HH",0.14
"14",".beta.-Hexachlorocyclohexane",,"CoolWAL",,,"N","Y","N","ugL","HH",0.14
"14",".beta.-Hexachlorocyclohexane",,"HQColdWAL",,,"N","Y","N","ugL","HH",0.14
"14",".beta.-Hexachlorocyclohexane",,"MCWAL",,,"N","Y","N","ugL","HH",0.14
"14",".beta.-Hexachlorocyclohexane",,"MWWAL",,,"N","Y","N","ugL","HH",0.14
"14",".beta.-Hexachlorocyclohexane",,"WWAL",,,"N","Y","N","ugL","HH",0.14
"24","1,1,2,2-Tetrachloroethane",,"ColdWAL",,,"N","Y","N","ugL","HH",30
