CHR_UID,CHR_NAME,WQS_NAME,SortOrder,ShortName,ShortNameOLD,Units,USE,ATTAINS_NAME,ATTAINs_GROUP_ID,ATTAINS_GROUP_NAME,ATTAINS_ID,ADB_NO,ADB_NAME,CAS,STORET,SHORT_CAUSE_NAME
2005,Zinc,"zinc, dissolved",22,Zn_D_HD,Zn_D,mg/l,,ZINC,706,METALS (OTHER THAN MERCURY),1169,423,Zinc,7440-66-6,545,Zinc
1992,Vinyl chloride,Vinyl chloride,105,Vinyl chl,Org_58,ug/l,,VINYL CHLORIDE,1080,TOXIC ORGANICS,1129,418,Vinyl chloride,75-01-4,523,
1987,Vanadium,"Vanadium, dissolved",34,V_D,V_D,mg/l,,VANADIUM (FUME OR DUST),706,METALS (OTHER THAN MERCURY),1122,415,Vanadium,7440-62-2,519,Vanadium
1981001,Uranium-234/235/238,"Uranium, dissolved",46,U_D,U_D,mg/l,,URANIUM,946,RADIATION,1118,414,Uranium,7440-61-1 ,516,
1977,Turbidity,turbidity,5,TURB,TURB,NTU,,TURBIDITY,1110,TURBIDITY,1110,413,Turbidity,,514,Turbidity
1974,Tritium,Tritium,45,Tritium,TRIT,pCi/L,,TRITIUM,946,RADIATION,1280,,,10028-17-8,513,RADIATION
1950,Trichloroethylene,Trichloroethylene,104,Trichloro,Org_57,ug/l,,TRICHLOROETHYLENE (TCE),1080,TOXIC ORGANICS,1101,408,Trichloroethylene,79-01-6,504,
988,Total dissolved solids,Total dissolved solids,7,TDS,TDS,mg/l,,TOTAL DISSOLVED SOLIDS (TDS),966,SALINITY/TOTAL DISSOLVED SOLIDS/CHLORIDES/SULFATES,1059,399,Total Dissolved Solids,,,
1935,Tribromomethane,Bromoform,103,Bromoform,Org_56,ug/l,,BROMOFORM,1080,TOXIC ORGANICS,235,124,Bromoform,75-25-2,63,
1883,Thallium,"thallium, dissolved",33,Tl_D,Tl_D,mg/l,,THALLIUM,706,METALS (OTHER THAN MERCURY),1045,393,Thallium,7440-28-0,487,
1926,"trans-1,2-Dichloroethylene","1,2-Transdichloroethylene",102,"1,2-Trans",Org_55,ug/l,,"TRANS-1,2-DICHLOROETHYLENE",1080,TOXIC ORGANICS,1090,444,"trans-1,2-Dichloroethylene",156-60-5,178,
